ID,PT,TOTAL_TOKENS
10017out,Esta frase é informal.,10
10061out,A poluição do ar na cidade está piorando.,20
10120out,"animal, cachorro, Labrador, Fido, ama",17
10246inp,Produto: Apple iPhone 12,11
10460inp,Quais são as três cores primárias?,18
10460out,"As três cores primárias são vermelho, azul e amarelo.",25
10474out,Ele está escrevendo uma carta.,14
10476inp,Pode me ajudar?,11
10476out,Sentença interrogativa.,10
10514inp,das Alterações Climáticas,16
10552inp,Posso tomar uma xícara de chá?,18
10583inp,Qual é a capital da França?,12
10583out,A capital da França é Paris.,11
10589out,Por que a galinha atravessou o parquinho? Para alcançar o outro escorregador!,33
10833inp,John Doe,6
10849out,"Começando com um aquecimento, os exercícios de alongamento ajudam a relaxar os músculos antes do treino. Adicionar um programa de exercícios rigoroso e desafiador à sua programação também ajuda a melhorar sua saúde e bem-estar geral.",90
10890inp,Apple Inc.,7
11009out,"O que tem quatro pernas, mas é imóvel?\nUma cadeira!",25
11056inp,Espécies que invadem outros ambientes,15
11064out,CIA (Central Intelligence Agency),9
11067inp,O cachorro latiu.,12
11126inp,sapatos fabricados pela Nike,12
11146out,Eu sou seu estudante.,12
11148inp,capacidade de um sistema computacional de realizar tarefas que normalmente exigem inteligência humana,37
11259out,Sentimento negativo.,10
11386out,Um amigo que te ajuda quando você precisa é um amigo de verdade.,26
113inp,Eu fui à loja.,11
11402inp,AirPods da Apple,9
11499inp,Nelson Mandela,7
11502out,Sentença declarativa.,10
11550inp,Agrupamento K-Means,12
1168out,O triângulo é um triângulo obtusângulo.,21
11701out,O cachorro latiu.,11
11807inp,um leão que é o líder,13
11822out,1. Tenda\n2. Saco de dormir\n3. Lanterna\n4. Fogão de acampamento\n5. Partidas,39
11907inp,Tópico: Natureza,11
11911out,O volume do cubo é 64 cm3.,13
11931inp,Alguém que protege crianças da corrupção,20
11932inp,Apple e Samsung,7
11ins,Qual é a capital da França?,10
11out,A capital da França é Paris.,10
12040ins,Qual é a cor do céu?,12
12169out,Sentimento negativo.,10
1216inp,"Em 2018, o ano mais recente para o qual há dados disponíveis em 2021, o Centro Nacional de Estatísticas de Saúde dos Centros de Controle e Prevenção de Doenças (CDC) relata 38.390 mortes por arma de fogo, das quais 24.432 foram por suicídio. A taxa de mortes por armas de fogo por 100.000 pessoas aumentou de 10,3 por 100.000 em 1999 para 12 por 100.000 em 2017, com uma média de 109 mortes por dia ou cerca de 14.542 homicídios no total, sendo 11,9 por 100.000 em 2018.",180
1218out,"Aumentei a taxa de mortes por armas de fogo de 10,3 por 100.000 para 12 por 100.000 de 1999 a 2017.",37
12415out,"Maçã, queijo mussarela, caminhão",19
12455out,Forrest Gump,7
12456out,Willian Shakespeare,6
12476out,Nome comum.,8
1253inp,Um laptop,6
125inp,"Los Angeles, Califórnia",10
12676inp,Carro elétrico,10
12701inp,Tópico: Mudanças Climáticas,17
12712out,Sem solução/alternativa,12
12757out,A frase é uma frase declarativa.,15
12806inp,O caderno,7
12897out,Consumir uma maçã diariamente contribui para a boa saúde e reduz a necessidade de ir ao médico.,42
12999inp,Texto 1: As pétalas de rosa gigantes eram movidas pela brisa levemente. \nTexto 2: As pétalas do girassol balançavam ao vento.,55
12999out,Texto 1: As pétalas de rosa gigantes eram movidas pela brisa. \nTexto 2: As pétalas do girassol balançavam ao vento.,51
13018inp,João Smith,7
13067out,A avaliação é negativa.,13
13090out,A afirmação é uma afirmação declarativa.,21
13102out,Ele está pronto para começar a trabalhar.,17
13112out,Ela está indo para a loja.,13
1323inp,Golden retriever,7
13310out,A ligeira raposa marrom saltou sobre o cão preguiçoso.,23
13534inp,Das Alterações Climáticas,16
13580inp,"O câncer é o responsável pelos problemas, de John Green",22
13612inp,João Smith,7
13625inp,O céu é azul,11
13625out,O céu é azul.,11
13653inp,Estados Unidos,9
