id,instance,class_type,number_instance,all_number_instance,contains_code,only_special_characters
0_inp,,inp,False,False,False,False
1_inp,,inp,False,False,False,False
2_inp,,inp,False,False,False,False
3_inp,,inp,False,False,False,False
4_inp,,inp,False,False,False,False
7_inp,,inp,False,False,False,False
8_inp,,inp,False,False,False,False
10_inp,,inp,False,False,False,False
11_inp,,inp,False,False,False,False
12_inp,,inp,False,False,False,False
13_inp,,inp,False,False,False,False
15_inp,,inp,False,False,False,False
16_inp,,inp,False,False,False,False
18_inp,,inp,False,False,False,False
19_inp,,inp,False,False,False,False
20_inp,,inp,False,False,False,False
21_inp,,inp,False,False,False,False
22_inp,,inp,False,False,False,False
24_inp,,inp,False,False,False,False
25_inp,,inp,False,False,False,False
26_inp,,inp,False,False,False,False
27_inp,,inp,False,False,False,False
29_inp,,inp,False,False,False,False
30_inp,,inp,False,False,False,False
32_inp,,inp,False,False,False,False
33_inp,,inp,False,False,False,False
34_inp,,inp,False,False,False,False
39_inp,,inp,False,False,False,False
40_inp,,inp,False,False,False,False
42_inp,,inp,False,False,False,False
44_inp,,inp,False,False,False,False
46_inp,,inp,False,False,False,False
47_inp,,inp,False,False,False,False
51_inp,,inp,False,False,False,False
54_inp,,inp,False,False,False,False
55_inp,,inp,False,False,False,False
56_inp,,inp,False,False,False,False
58_inp,,inp,False,False,False,False
59_inp,,inp,False,False,False,False
60_inp,,inp,False,False,False,False
62_inp,,inp,False,False,False,False
77_inp,,inp,False,False,False,False
79_inp,,inp,False,False,False,False
80_inp,,inp,False,False,False,False
83_inp,,inp,False,False,False,False
84_inp,,inp,False,False,False,False
85_inp,,inp,False,False,False,False
86_inp,,inp,False,False,False,False
90_inp,,inp,False,False,False,False
93_inp,,inp,False,False,False,False
94_inp,,inp,False,False,False,False
96_inp,,inp,False,False,False,False
97_inp,,inp,False,False,False,False
98_inp,,inp,False,False,False,False
100_inp,,inp,False,False,False,False
103_inp,,inp,False,False,False,False
104_inp,,inp,False,False,False,False
105_inp,,inp,False,False,False,False
107_inp,,inp,False,False,False,False
108_inp,,inp,False,False,False,False
124_inp,,inp,False,False,False,False
128_inp,,inp,False,False,False,False
134_inp,,inp,False,False,False,False
136_inp,,inp,False,False,False,False
138_inp,,inp,False,False,False,False
140_inp,,inp,False,False,False,False
143_inp,,inp,False,False,False,False
146_inp,,inp,False,False,False,False
147_inp,,inp,False,False,False,False
149_inp,,inp,False,False,False,False
150_inp,,inp,False,False,False,False
152_inp,,inp,False,False,False,False
156_inp,,inp,False,False,False,False
158_inp,,inp,False,False,False,False
159_inp,,inp,False,False,False,False
160_inp,,inp,False,False,False,False
168_inp,,inp,False,False,False,False
169_inp,,inp,False,False,False,False
170_inp,,inp,False,False,False,False
190_inp,,inp,False,False,False,False
197_inp,,inp,False,False,False,False
199_inp,,inp,False,False,False,False
200_inp,,inp,False,False,False,False
201_inp,,inp,False,False,False,False
202_inp,,inp,False,False,False,False
204_inp,,inp,False,False,False,False
205_inp,,inp,False,False,False,False
206_inp,,inp,False,False,False,False
207_inp,,inp,False,False,False,False
208_inp,,inp,False,False,False,False
212_inp,,inp,False,False,False,False
215_inp,,inp,False,False,False,False
216_inp,,inp,False,False,False,False
217_inp,,inp,False,False,False,False
220_inp,,inp,False,False,False,False
221_inp,,inp,False,False,False,False
222_inp,,inp,False,False,False,False
