modelos,dataset,tipo,acertos,erros,invalidos,pct_acertos,pct_erros,pct_invalidos
gemma-3-12b-it-unsloth-bnb-4bit.csv,pt,sem_fine_tuning,9170,5600,280,60.93,39.07,1.86
zephyr-sft-bnb-4bit.csv,pt,sem_fine_tuning,6786,8254,10,45.09,54.91,0.07
Qwen3-14B-unsloth-bnb-4bit-unsloth-largest.csv,pt,sem_fine_tuning,4020,10542,488,26.71,73.29,3.24
Llama-3.2-3B-Instruct-unsloth-bnb-4bit.csv,pt,sem_fine_tuning,6650,7914,486,44.19,55.81,3.23
Llama-3.1-8B-unsloth-bnb-4bit.csv,pt,sem_fine_tuning,3734,4296,7020,24.81,75.19,46.64
Qwen2.5-7B-Instruct-bnb-4bit.csv,pt,sem_fine_tuning,8571,5986,493,56.95,43.05,3.28
phi-4-unsloth-bnb-4bit.csv,pt,sem_fine_tuning,8,12,15030,0.05,99.95,99.87
Qwen2.5-14B-Instruct-unsloth-bnb-4bit.csv,pt,sem_fine_tuning,8515,6007,528,56.58,43.42,3.51
DeepSeek-R1-Distill-Llama-8B.csv,pt,sem_fine_tuning,5607,8931,512,37.26,62.74,3.4
Llama-3.1-8B-unsloth-bnb-4bit-V1.csv,pt,v1,6535,8036,479,43.42,56.58,3.18
phi-4-unsloth-bnb-4bit-V1.csv,pt,v1,9107,5457,486,60.51,39.49,3.23
Qwen2.5-7B-Instruct-bnb-4bit-V1.csv,pt,v1,8216,6373,461,54.59,45.41,3.06
zephyr-sft-bnb-4bit-V1.csv,pt,v1,6339,8660,51,42.12,57.88,0.34
gemma-3-12b-it-bnb-4bit-V1.csv,pt,v1,9170,5600,280,60.93,39.07,1.86
Llama-3.2-3B-Instruct-unsloth-bnb-4bit-V1.csv,pt,v1,6217,8351,482,41.31,58.69,3.2
Qwen2.5-14B-Instruct-unsloth-bnb-4bit-V1.csv,pt,v1,9075,5510,465,60.3,39.7,3.09
Qwen2.5-7B-Instruct-bnb-4bit-V2.csv,pt,v2,6175,6363,2512,41.03,58.97,16.69
Llama-3.2-3B-Instruct-unsloth-bnb-4bit-V2.csv,pt,v2,5744,8771,535,38.17,61.83,3.55
gemma-3-12b-it-bnb-4bit-V2.csv,pt,v2,9170,5600,280,60.93,39.07,1.86
