ID,INSTRUCTION,INPUT,OUTPUT
6,,4/16,
17,,"def factorialize(num):
  factorial = 1
  for i in range(1, num):
    factorial *= i
  
  return factorial","def factorialize(num):
  factorial = 1
  for i in range(num, 0, -1):
    factorial *= i
  
  return factorial"
37,,"[2, 3, 7, 8, 10]",
41,,3x+5y=9,3x + 5y - 9 = 0
53,,"2, 4, 0, 8, 3","0, 2, 3, 4, 8"
61,,101101,
73,,"21, 4",
81,,,1
122,,94F,34.4C
131,,"2, 5, 10",
146,,,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n-1)"
147,,,"def toUpperCase(str):
    return str.upper()"
148,,,"[5, 8, 3, 5]"
149,,,"def sqrt(n):
    low = 0
    high = n
    
    while low <= high:
        mid = (low + high) // 2
        if mid * mid == n:
            return mid
        elif mid * mid < n:
            low = mid + 1
        else:
            high = mid - 1
            
    return low - 1"
150,,,"def reverse(head): 
    prev = None
    cur = head 

    while cur:
        next = cur.next
        cur.next = prev 
        prev = cur 
        cur = next
    head = prev
    
    return head"
151,,,"[7, 8, 9, 11]"
152,,,"def maxProfit(prices):
    min_price = float('inf')
    max_profit = 0

    for price in prices:
        min_price = min(min_price, price) 
        profit = price - min_price
        max_profit = max(max_profit, profit)

    return max_profit"
153,,,"def isRotation(s1, s2):
    if len(s1) != len(s2):
        return False

    s3 = s1 + s1 
    return s3.find(s2) != -1"
154,,,6
155,,,"7, 9"
157,,,865
209,,,30932
211,,,333
226,,,18
266,,"1, 2, 3, 4, 5",3.0
270,,"7, 9, 13, 2, 8",8
287,,,11
294,,(x + 3)(2x - 5),
342,,,"def mean(lst): 
    return sum(lst) / len(lst)"
347,,,"def alphabetic_sort(lst): 
    return sorted(lst, key=str.lower)"
349,,,"def is_anagram(s1, s2): 
    s1 = sorted(s1.lower()) 
    s2 = sorted(s2.lower()) 
    return s1 == s2"
353,,"[5, 10, 15, 8, 9, 5, 8, 10, 9]","15, 5, 8"
399,,"5, 10, 20",35
403,,6 + 12,18.
410,,,6.
480,,,D-C-B-A-D G-A-G-F-E-D D-C-B-A-D E-G-A-G.
483,,,"def count_unique_chars(string):
  char_dict = {}
  for char in string:
    if char in char_dict:
      char_dict[char] += 1
    else:
      char_dict[char] = 1
  return len(char_dict)

print(count_unique_chars(""Butterflies""))
# Output: 9"
486,,,"def lcm(a, b):
  if a > b:
    greater = a
  else:
    greater = b
  while(True):
    if((greater % a == 0) and (greater % b == 0)):
      lcm = greater
      break
    greater += 1
  return lcm

print(lcm(15, 18))
# Output: 90"
491,,7 + 6,13
513,,12/8,1.5
527,,,8
534,,,4x + 5.
634,,"[1, 2, 3, 4, 5]","[5, 4, 3, 2, 1]"
681,,,"def F2C(F):
    C = (F-32)*(5/9)
    return C"
682,,,6
686,,a=4,64
688,,"15, 68, 20, 41, 28",29.5
689,,125,
712,,"8, 22, 11, 47",11
717,,,X-Y-L-O-P-H-O-N-E
764,,"[1, -1, 0.5, -0.5, 0.8, -0.9, 0.4]",
767,,"[4, 1, 6, 5, 2]",
770,,5309 7677 8244 1346,5309
841,,x = 14,
896,,"9, -7, 15, 12","15, 12, 9, -7"
906,,,48
957,,"[1,2,3,4]",
989,,,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47."
1009,,2 + 3 =,2 + 3 = 5.
1031,,,4
1041,,"[[2, 3],
 [4, 5]]","[[4, 2],
 [5, 3]]"
1065,,,"""""""
Function to reverse a list of numbers
""""""

def reverse_list(input_list):
    reverse_list = input_list.copy()
    reverse_list.reverse()
    return reverse_list

if __name__ == '__main__':
    l = [1, 2, 3, 4, 5]
    print(reverse_list(l))
    # Output: [5, 4, 3, 2, 1]"
1069,,,"""""""
Function to count character frequency in a string
""""""

function countCharacterFrequency(string) {
    let freqObj = {};
    for (let c of string) {
        if (freqObj[c]) {
            freqObj[c]++;
        } else {
            freqObj[c] = 1;
        }
    }
    return freqObj;
}

if __name__ == '__main__':
    str = ""hello world"";
    console.log(countCharacterFrequency(str)); 
    // Output: { h: 1, e: 1, l: 3, o: 2, w: 1, r: 1, d: 1 }"
1074,,,"""""""
Script to convert Celsius to Fahrenheit
""""""

def celsius_to_fahrenheit(celsius):
    return celsius * 9/5 + 32

if __name__ == '__main__':
    celsius = 37
    print(celsius_to_fahrenheit(celsius))
    # Output: 98.6"
1086,,,6E
1100,,"40.728157, -73.794853",
1112,,2 + 4 + 6,12
1149,,,"x = 2
y = 3"
1225,,,"import random
def random_array(n):
    arr = []
    for i in range(n):
        arr.append(random.randint(0, 100))
    return arr"
1230,,,"def find_max(lst):
    max_num = 0
    for num in lst:
        if num > max_num:
            max_num = num
    return max_num"
1231,,y = 3x - 2,
1233,,,-8
1249,,73,
1299,,"# main.py

def hello():
    print('Hello World!')

if __name__ == '__main__':
    hello()",
1301,,3048,
1307,,,10.
1339,,3 + 4,3 4 +
1349,,"9, 2, 7, 4, 1, 6, 8",6
1375,,,"def isAnagram(string1, string2): 
  
    # Make sure both strings are of the same length 
    if len(string1) != len(string2): 
        return False
  
    # Dictionary to store frequency of characters in string1 
    count = [0] * 26
  
    # For each character in string1 increment its frequency 
    for i in range(len(string1)): 
        count[ord(string1[i]) - ord('a')] += 1
  
    # For each character in string2 decrement its frequency 
    for i in range(len(string2)): 
        count[ord(string2[i]) - ord('a')] -= 1
  
    # If any frequency reaches a negative value, 
    # then strings can't be anagrams 
    for i in range(len(count)): 
        if count[i] < 0: 
            return False
  
    # If all frequencies are zero, string1 and string2 
    # are anagrams of each other 
    return True"
1384,,"[25.2, 24.6, 22.7, 26.1, 28.2]",
1398,,3x + 4y = 20,
1402,,,"def sum_numbers(x, y):
    """"""
    Returns the sum of two numbers.
    
    Parameters
    ----------
    x : int
        The first number
    y : int
        The second number

    Returns
    -------
    int
        The sum of the two numbers
    """"""
    return x + y"
1420,,62,
1469,,,11
1480,,,"for i in range(1,11):
    print(i)"
1503,,,7
1550,,2x + 10 = 20,
1555,,"3, 11, 17, 5","17, 11, 5, 3"
1557,,7.123e-2,
1600,,"def add_numbers(x,y):
    return x+y

add_numbers(2)",
1608,,,".header {
    font-size: 18px;
}"
1613,,,"def insert(node, data): 
    # If the tree is empty, return a new node 
    if node is None: 
        return Node(data) 
  
    # Otherwise, recur down the tree
    if data < node.data: 
        node.left = insert(node.left, data) 
    else: 
        node.right = insert(node.right, data) 
  
    # return the (unchanged) node pointer 
    return node 
  
# Function to search a given data 
def search(node, data): 
      
    # Base Case: if root is None or key is present at root 
    if node is None or node.data == data: 
        return node 
  
    # Key is greater than root's key 
    if node.data < data: 
        return search(node.right, data) 
  
    # Key is smaller than root's key 
    return search(node.left, data)"
1618,,C2H2,
1619,,"5, 15, 10, 7",10
1622,,"(1, 2) (2, 3) (3, 2) (4, 5)",
1626,,"7, 9",16
1660,,"[7, 3, 5, 10, 1]","def sort_ascending(lst):
    for i in range(len(lst)):
        for j in range(i+1, len(lst)):
            if lst[i] > lst[j]:
                lst[i], lst[j] = lst[j], lst[i]
    return lst

sort_ascending([7, 3, 5, 10, 1])  # returns [1, 3, 5, 7, 10]"
1683,,"2, 4, 6, 8, 10",
1691,,,"John
|
+----Martha
    |
    +----William
    |
    +----Robert"
1724,,"9, 5","def multiply(num1, num2):
  result = 0
  for i in range(num1):
    result = result + num2
  return result"
1726,,,15
1733,,42,
1736,,18047,
