ID,PT,tokens_est_instance,tokens_est_id
962ins,Descreva uma tecnologia usada para medir as respostas emocionais das pessoas.,29,3
963ins,Cite cinco plantas medicinais amplamente utilizadas no Ayurveda.,22,3
964ins,gerar um algoritmo para encontrar o primeiro ancestral comum de dois nós em uma árvore binária.,35,3
965ins,Escreva uma história de amizade entre dois garotos de origens diferentes.,26,3
966ins,Dê um exemplo de como usar um assistente de IA para automatizar um processo de atendimento ao cliente.,33,3
967ins,Liste cinco fatores que influenciam o custo de produção de um bem.,24,3
968ins,Avaliar o impacto ambiental de uma fonte de energia renovável,19,2
969ins,Explique o processo de obtenção de crédito para um empréstimo,22,2
970ins,Gere uma lista de dicas para melhorar o metabolismo.,17,2
971ins,Escolha a melhor senha para um determinado serviço.,17,3
972ins,Escreva uma história sobre um robô que precisa completar uma tarefa difícil.,28,3
973ins,Escolha a palavra estranha em cada frase:,16,3
974ins,Componha uma música em Dó Maior.,15,3
975ins,Classifique o texto a seguir como ficção ou não ficção.,25,2
976ins,Identifique o tipo de triângulo a partir do seguinte conjunto de ângulos.,29,3
977ins,"Calcule a área de um triângulo com lados medindo 8 cm, 5 cm e 6 cm.",27,3
978ins,Descreva como as plantas se parecem no inverno.,18,2
979ins,Que tipo de número é -625?,12,3
980ins,Encontre a soma dos ângulos internos de um polígono com cinco lados.,27,2
981ins,Qual é a diferença entre um porco-espinho e um ouriço?,22,3
982ins,Atualize a passagem a seguir com a ortografia e gramática corretas.,27,3
983ins,Cite um produto químico que seja um ácido e uma base.,22,3
991ins,Organize as seguintes palavras para formar uma frase significativa: vender fazer investidores aconselhar confiar.,35,3
992ins,"Divida a frase a seguir em duas frases declarativas: \""A comida estava deliciosa e o serviço foi excelente\"".",40,2
993ins,Explique como redes neurais podem ser usadas para prever preços de ações.,26,2
994ins,Classifique o seguinte item alimentar saudável,16,2
995ins,Cite as 6 cidades mais populosas da China.,15,2
996ins,Edite o texto a seguir para facilitar a leitura,16,2
997ins,Determine a área da superfície da figura a seguir,19,2
998ins,Encontre a definição do seguinte termo financeiro,17,2
999ins,Descreva o perfil de sabor do seguinte tipo de culinária,21,2
1000ins,Liste 3 eventos históricos relacionados ao seguinte país,20,2
1001ins,Comparar e contrastar os efeitos do desempenho individual e social,18,2
4661ins,Descreva uma situação hipotética na qual a tecnologia de IA poderia ser usada para melhorar a segurança dos locais de trabalho.,44,3
4662ins,Explique as diferenças entre um mecanismo de busca regular e um mecanismo de busca semântico.,31,3
4663ins,Resuma um artigo de notícias sobre as novas leis tributárias na cidade de Nova York.,30,3
4664ins,Imprima um objeto 3D usando uma máquina de impressão 3D.,22,3
4665ins,Classifique o tipo de roupa com base na seguinte descrição: Uma blusa sem mangas com gola em V.,34,3
4666ins,"Crie um gráfico para mostrar os seguintes dados mensais:\n\nMês, Vendas\nJan, 5\nFev, 10\nMar, 15",46,3
4667ins,Componha um poema Haiku centrado no conceito de felicidade.,19,3
4668ins,Escreva uma postagem de blog sobre a transição energética de combustíveis fósseis para fontes de energia renováveis.,41,3
4669ins,Compare e contraste os papéis de um educador e de um político.,20,3
4670ins,Crie um algoritmo para identificar se duas strings são anagramas.,21,3
4671ins,Crie um plano para reduzir as emissões de gases de efeito estufa na sua comunidade local.,33,3
4672ins,Preencha as lacunas na frase a seguir de forma apropriada e gramaticalmente correta:\n\nA cidade teve que ____ sua proposta devido à falta de ____ apoio.,59,3
4953ins,Reescreva a frase na forma de uma frase interrogativa.,19,3
4954ins,Identifique a palavra da frase com a grafia errada.,18,3
4955ins,"Sugira um sinônimo para a palavra \""eliminar\"".",19,3
4956ins,"Identifique as duas palavras que rimam com \""chama\"".",18,3
4957ins,Cite a última frase do parágrafo fornecido.,18,3
4958ins,"Escreva quatro frases sobre pandemias começando com a palavra \""Pandemias\"".",26,3
4959ins,Reescreva a frase na primeira pessoa.,14,3
4960ins,"Crie uma frase com a palavra \""Onipresente\"".",18,3
4961ins,Reescreva a frase para que ela contenha uma metáfora apropriada.,25,3
4962ins,"Gere uma história de 5 frases, dada a seguinte premissa:",23,3
4963ins,Resuma o texto em 50 palavras. A saída deve conter apenas uma frase.,27,3
4964ins,Gere 3 perguntas exclusivas sobre um determinado tópico.,19,3
4965ins,Classifique as seguintes palavras em ordem alfabética e exiba a lista ordenada.,28,3
4966ins,"Dada uma lista de palavras, remova palavras duplicadas e exiba a lista com palavras únicas.",34,3
4967ins,"Identifique se a seguinte frase é formal ou informal. Produza \""formal\"" ou \""informal\"".",31,3
4978ins,"Pegue esta frase e reformule-a de uma forma que tenha o mesmo significado, mas que aumente o poder de convencimento.",40,3
4989ins,Crie uma lista de dicas para um estilo de vida saudável.,21,3
7374ins,Crie uma consulta dinâmica para filtrar uma grande tabela de dados do usuário,28,3
7378ins,Gerar um relatório de campo com alguma descrição.,18,3
7381ins,Descreva um processo para implantar um aplicativo Web usando uma instância do Amazon EC2.,29,3
7382ins,Identifique e defina a mudança de paradigma na citação a seguir.,23,3
7387ins,Crie uma piada sobre um professor,10,3
7388ins,Identifique uma citação famosa do livro fornecido,17,3
7389ins,Descreva o sentimento emocional da linha fornecida,15,3
7390ins,Gere uma nova receita com base em uma determinada lista de ingredientes.,21,3
7391ins,Avalie este programa em relação aos seus pontos fortes e fracos.,24,3
7392ins,Crie uma história dada a lista de personagens e o cenário.,23,3
7393ins,Dê conselhos a um colega sobre como demonstrar liderança.,22,3
7394ins,"Fale sobre o tema discriminação no local de trabalho, dado o contexto da apresentação.",30,3
7395ins,Crie uma dica para ajudar alguém a aprender uma nova habilidade mais rápido.,32,3
7396ins,Crie um algoritmo para determinar se um determinado número é primo.,22,3
7397ins,"Explique o significado do provérbio \""Pessoas inteligentes compreendem facilmente, com poucas explicações\"".",39,3
7398ins,Componha uma melodia baseada na escala de Dó maior fornecida.,22,3
7399ins,Crie um programa de computador para determinar a frequência de sequências de caracteres em um determinado texto.,34,3
7400ins,Reformule a frase dada usando sinônimos.,16,3
7401ins,Gere uma receita contendo os ingredientes fornecidos.,16,3
16388ins,Leia esta curta passagem e identifique a ideia principal.,18,3
16389ins,Cite o nome de um artista musical popular de um determinado país.,18,3
16390ins,"Ilustre a frase \""uma situação ou lugar do qual é impossível escapar\"".",28,3
16391ins,O que é probabilidade condicional?,11,3
16392ins,"Qual figura de linguagem é usada na frase \""O peixe estava fazendo um som que se assemelhava ao canto na banheira\""?",42,3
16393ins,Qual é o coeficiente de expansão térmica?,15,3
16394ins,Classifique esses animais de acordo com sua expectativa de vida.,21,3
16395ins,Qual é a idade média de todos os estados dos EUA?,19,3
16396ins,"Qual é o significado cultural por trás da expressão \""uma chuva muito forte\""?",24,3
16397ins,Qual é o número médio de dias que uma pessoa passa no hospital após uma cirurgia cardíaca?,36,3
16398ins,Crie um logotipo de acordo com as diretrizes da marca fornecidas abaixo.,27,3
16411ins,Que evento causou a Primeira Guerra Mundial?,13,3
16412ins,"Da mesma forma que a pergunta anterior, pergunte sobre outras regras da escola",24,3
16413ins,Explique quem tem direito a votar nos EUA,13,3
16414ins,Gere uma lista de cinco razões válidas para se tornar vegano,25,3
16415ins,Encontre cinco receitas para preparar chili vegano,14,3
16416ins,O que afirmava a Declaração de Independência?,17,3
16417ins,Recupere os detalhes relevantes do artigo de notícias.,18,3
16418ins,"Classifique o tweet com base no sentimento. Saída 'positivo', 'negativo' ou 'neutro'.",31,3
16419ins,Exclua o tweet se ele violar as regras.,13,3
16420ins,Insira palavras para dar sentido à frase.,14,3
16421ins,Altere a segunda frase para tornar as duas frases seguintes compatíveis.,25,3
