ID,PT
19ins,"Gere três verbos que significam o mesmo que \""pedir desculpas\"""
108ins,"Pense em uma frase ou expressão idiomática que contenha a palavra \""dormir\""."
143ins,"Escreva uma definição simples da palavra \""economia\""."
207ins,"Qual é a contração de \\\""they are\\\""?"
311ins,"Escreva uma definição de \\\""photoshop\\\""."
315ins,"Explique o termo \\\""explicabilidade da IA\\\""."
20165out,"<span style=\\""font-style: italic; font-size: larger;"
41350ins,erro
1063ins,"Traduzir \\\""Bonjour\\\"" para o inglês."
1794ins,"Solucione a seguinte mensagem de erro: \""Ocorreu um erro desconhecido. Código de erro: 500.\"""
1887ins,"Identifique a classe gramatical de cada palavra na frase: \""O robô pintou a casa\""."
1915ins,"Encontre a definição da frase \""aprendizado de máquina\""."
1960ins,"Dê um exemplo de uma frase que inclua a palavra \""gigantesco\""."
2047ins,"Reescreva a seguinte frase em um estilo melhor em inglês: \""This is the most awesome thing ever!\"""
2068ins,"Como você responderia à seguinte pergunta \""sim ou não\""?"
2104ins,"Classifique a seguinte afirmação como verdadeira ou falsa. \""Um método científico não pode ser usado para estudar um fenômeno social.\"""
2105ins,"Reescreva a seguinte frase para torná-la mais concisa. \""É essencial que a nova linguagem de codificação seja fácil de aprender.\"""
2109ins,"Edite a frase a seguir para que soe mais formal. \""temos que encontrar uma maneira de fazer isso funcionar\"""
2111ins,"Construa uma definição para o termo \""IA\""."
2112ins,"Digite a letra silenciosa na palavra \""honesto\""."
2116ins,"Na frase “A maçã é vermelha.”, identifique o verbo principal."
2117ins,Sinonímia da palavra “zangado”.
2119ins,Encontre a palavra mais longa na frase “Grandes mentes pensam da mesma forma”.
2122ins,"Traduza a seguinte frase para o francês:\n\""Nós nos divertimos muito\"""
2123ins,"Identifique o substantivo próprio na frase \""Hoje é quinta-feira\""."
2126ins,"Escreva um código JavaScript para exibir uma mensagem de alerta quando o botão \""Enviar\"" for pressionado."
2262ins,"Crie um trocadilho com as palavras \""girafa\"" e \""elefante\"""
2458ins,"Quem é o autor do romance \""Caninos Brancos\""?"
2478ins,"Explique o termo \""redes neurais convolucionais\""."
2483ins,"Resuma os acontecimentos do capítulo 6 do livro \""Moby Dick\""."
2492ins,"Construa uma expressão regular para identificar strings que começam com a letra \""s\""."
2666ins,"Descreva o significado de \""X\"" em 4 frases."
2674ins,"Explique o conceito de \""X\"" em 5 frases."
2675ins,"Crie 10 ideias para \""X\""."
2783ins,"Classifique a seguinte afirmação: \""A melhor maneira de aprender é ensinando\""."
2789ins,"Escreva uma expressão matemática para esta afirmação: \""o produto de seis e a soma de três e quatro\"""
2804ins,"Identifique a conjunção na frase \\\""liberdade e justiça\\\"""
2805ins,"Classifique o tipo de frase \\\""Estou sentado\\\"""
2848ins,"Forneça uma definição para o termo \\\""dispositivos literários\\\"""
2886ins,"Gere 10 ideias para seu projeto \\\""faça você mesmo\\\"""
2897ins,"Escreva uma definição concisa para \\\""algoritmo\\\"""
2902ins,"Dê um exemplo que mostre como usar a palavra \\\""indignado\\\"""
3867ins,"Crie uma frase sábia em inglês que comece com as palavras \""A stitch in time\"" e que expresse um conselho."
3893ins,"Crie um quebra-cabeça usando a palavra \""borboleta\"" como tema, com uma pergunta e uma resposta."
3935ins,"Subtraia \""83\"" de \""140\""."
3951ins,"Dê-me um exemplo de frase que use o verbo \""to waver\""."
3952ins,"Explique o significado da expressão idiomática \""revelar um segredo ou informação confidencial\""."
3982ins,"Edite a frase a seguir para torná-la mais formal: \n\""Agradeço sua assistência.\"""
3998ins,"Explique o conceito de \""o resultado mais desfavorável ou negativo possível\""."
4000ins,"O que significa \""um conjunto de instruções passo a passo para resolver um problema ou realizar uma tarefa\""?"
4002ins,"Considere a seguinte frase: \""I was born in the United States\"". Forneça a classe gramatical para a palavra “born”."
4012ins,"Substitua a palavra \""renderização\"" na frase a seguir por outra palavra que tenha o mesmo significado, sem alterar a estrutura da frase."
4075ins,Construa uma explicação da definição da palavra “recompensa”.
4076ins,Defina o termo “aprendizado de máquina”.
4092ins,Analise o poema “The Road Less Traveled”
4192ins,"Traduza a frase \\\""boa viagem\\\"" para o espanhol."
4195ins,"Classifique a seguinte frase: \\\""Meu carro tem me dado problemas ultimamente.\\\"""
4201ins,"Edite a frase a seguir para corrigir quaisquer erros de gramática ou ortografia:\\n\\\""Enviei dois e-mails para meu chefe e ele não respondeu\\\"""
4221ins,Sinônimo da palavra “inteligente”
4227ins,"Encontre um sinônimo para a palavra \\\""grandeza\\\"""
4229ins,"Crie um lema de quatro palavras com as palavras \\\""poder\\\"", \\\""coragem\\\"", \\\""sonho\\\"" e \\\""esperança\\\""."
4244ins,"Diga-me, qual é a primeira coisa que vem à sua mente quando você ouve a palavra \\\""estrada\\\""."
4278ins,"Gere uma lista de sinônimos para \""desolado\""."
4285ins,"Reescreva a frase sem usar as palavras \""é\"" e \""era\""."
4287ins,"Concorde ou discorde da seguinte afirmação: \""É sempre melhor ser honesto\""."
4290ins,"Como se diz \""obrigado\"" em japonês?"
4340ins,"Crie uma rima para a palavra \""falling\""."
4344ins,"Crie um poema que comece com a frase \""Mesmo nos dias mais sombrios\"""
4348ins,Crie uma história que comece com a frase “Eles pensaram que estavam perdidos para sempre”.
4358ins,"Insira o artigo correto antes da palavra \""crianças\"""
4489ins,"Explique o conceito de \""custo de oportunidade\""."
4495ins,"Qual é o passado de \""run\""?"
4496ins,"Liste três palavras relacionadas à palavra \""maçã\""."
4526ins,"Escreva uma frase usando a expressão \""há muitas possibilidades\""."
4559ins,"Identifique que tipo de pronome é esse: \""Está chovendo há horas\"""
4756ins,"Traduza a frase \""Onde está la estación de autobuses?\"" para o inglês."
5118ins,"Qual é o significado da frase \""não faça suposições sobre algo ou alguém com base em sua aparência\""?"
5143ins,"Qual é o significado da frase \""agir de forma tola ou estúpida\""?"
5163ins,"Gere um exemplo de uma conversa de atendimento ao cliente envolvendo a palavra-chave \""envio\""."
5184ins,"Qual é a palavra para \""multidão\""?"
5188ins,"Crie uma lista de 10 adjetivos usando a letra \""r\""."
5264ins,"Encontre um eufemismo adequado para \""faleceu\""."
5335ins,"Explique o conceito de \""direitos de propriedade intelectual\""."
5338ins,"Crie uma história criativa que transmita a mensagem: \""Cada ato de gentileza torna o mundo um lugar melhor\""."
5343ins,"Explique a relação entre os substantivos e pronomes na frase \""Jennifer compartilhou a receita simples com Tom e Jennifer\""."
5345ins,"Reescreva a seguinte declaração tornando-a mais concisa: \""Suzanne trabalha como engenheira e atualmente é empregada pela XYZ Corp.\"""
5346ins,"Dê um toque positivo à seguinte declaração: \""O governo federal está considerando a possibilidade de cancelar os estágios de verão.\"""
5348ins,"Reescreva a seguinte declaração no tempo futuro: \""Estou repensando meus planos de carreira.\"""
5349ins,"Reescreva a seguinte declaração no passado: \""Eles estão planejando lançar um novo site.\"""
5350ins,"Descreva a relação entre os substantivos e pronomes na frase: \""A pessoa que convidou convidou Joe e ele para jantar.\"""
5352ins,"Reescreva a seguinte afirmação para que fique mais concisa: \""Devemos lembrar que os alimentos que comemos podem ter um impacto na nossa saúde.\"""
5357ins,"Escolha uma palavra melhor para substituir a palavra \""doce\""."
5407ins,"Explique ao assistente que \""elefante\"" e \""ELEFANTE\"" são as mesmas palavras."
5431ins,"Explique por que a seguinte afirmação está errada: \""A computação em nuvem armazena seus dados em servidores de data centers\""."
5447ins,"Reescreva a frase a seguir usando sinônimos e/ou uma estrutura gramatical diferente para enfatizar o mesmo significado da frase: \""Foi extraordinário\""."
5450ins,"Edite esta frase para usar linguagem figurada: \""A jornada foi cheia de obstáculos e desafios\"""", ""GLINGUAGE"", ""JORNADA OBSTÁCULO DESAFIO CHEIO SER FRASE LINGUAGEM FIGURADO USAR EDITAR.""},
  {""ID"": ""5451ins"", ""PT"": ""Preencha a lacuna usando o tempo verbal correto: \""I have been _______ running every morning\"""
5452ins,"Torne a frase a seguir mais concisa: \""Fiquei surpreso com a notícia\"""
5689ins,"Defina o que significa o termo \""inteligência artificial\""."
5708ins,"Sugira uma alternativa adequada à frase \""apresse-se\""."
6269ins,"Classifique esta frase como um comando, declaração ou pergunta: \""Eu peço que você considere esta oferta.\"""
6272ins,"Edite esta frase para torná-la mais concisa: \""Portanto, eu insisto que...\"""
6273ins,"Analise a frase a seguir e identifique o sujeito, o verbo e o objeto: \""Robôs podem aprender rapidamente\""."
6274ins,"Determine qual das seguintes frases está correta: \""É mais divertido\"" ou \""É mais divertido\""?"
6276ins,"Escreva um parágrafo usando as palavras \""perspectiva\"", \""integridade\"" e \""diversidade\""."
6277ins,"Explique o significado da expressão \""começar a trabalhar a todo vapor\"" (começar a correr)."
6314ins,"Traduza estas palavras do inglês para o francês: \""Dog\"""
6331ins,"Oriente o assistente a classificar a seguinte frase como \""Positiva\"" ou \""Negativa\"":\nEu tenho uma opinião positiva sobre o novo produto."
