ID,ORIGINAL,TOKENS_EST_ID,TOKENS_EST_ORIGINAL,TOTAL_TOKENS,FIGURATIVO,REESCRITO,RESULTADO
40Q1,"Um poste de ponta tem uma força de 4π * 10^-4 weber. A força em newtons em um poste de ponta de 4π * 1,5 * 10^-4 weber colocado a uma distância de 10 cm dele será",3.0,64.0,67.0,,,
44Q1,"Em uma máquina CC de enrolamento de 2 pólos, a resistência de um condutor é 2Ω e o número total de condutores é 100. Encontre a resistência total",3.0,55.0,58.0,,,
208Q1,"Você é solicitado a determinar o preço de uma opção de venda europeia sobre uma ação. Supondo que a estrutura Black-Scholes se mantenha, você recebe: (i) O preço da ação é $ 100. (ii) A opção de venda expirará em 6 meses. (iii) O preço de exercício é $ 98. (iv) A taxa de juros livre de risco composta continuamente é r = 0,055. (v) δ = 0,01 (vi) σ = 0,50. Qual é o preço da opção de venda?",3.0,165.0,168.0,,,
640Q1,"Para uma opção perpétua americana dentro da estrutura Black-Scholes, você tem: (i) $h_1 + h_2$ = 7/9 (ii) A taxa de juros livre de risco composta continuamente é 5%. (iii) σ = 0,30. Qual é o valor de $h_1$?",3.0,90.0,93.0,,,
2869Q1,Uma fita de DNA com a sequência 5′ CGA TTG 3′ seria complementar à sequência,4.0,29.0,33.0,,,
3074Q1,"Dada uma população em equilíbrio genético na qual a frequência genética inicial de d é 0,2; suponha que a taxa de mutação (u) de D \rightarrow d seja 4,1 × 10^-5, e a taxa de mutação reversa (v) de d \rightarrow D seja 2,5 × 10^-7. (a) Se as taxas de mutação acima forem introduzidas na população, qual será a mudança em q (frequência de d) na primeira geração? (b) Supondo que as taxas acima continuem ao longo do tempo, qual será o valor de q no equilíbrio mutacional?",4.0,188.0,192.0,,,
3182Q1,"Em humanos, os grupos sanguíneos M, MN e N são determinados por dois alelos codominantes: L^m e L^n. Em uma população de 800 estudantes universitários, os seguintes fenótipos foram identificados: Número do grupo sanguíneo M 392 MN 336 N 72 800 Determine a frequência dos alelos Lm e I"".",4.0,106.0,110.0,,,
3438Q1,"A reação A + B → C é catalisada pela enzima K. Se a reação estiver em equilíbrio, qual das seguintes opções permitiria que mais produto C fosse produzido?",4.0,63.0,67.0,,,
3537Q1,Qual é o valor máximo da componente z do momento angular de spin de 43Ca? [I = 7⁄2],4.0,31.0,35.0,,,
3538Q1,Qual é a intensidade (B1) de um pulso de 13C de 90° com duração de 1 μs?,4.0,30.0,34.0,,,
3542Q1,"Calcule as ocupações relativas dos níveis de energia de spin α e β para uma espécie radical com g = 2,05, nas frequências das bandas L e W (considere TS = 300 K).",4.0,62.0,66.0,,,
3567Q1,"Nitrato de amônio sólido, amitol, é muito usado como explosivo; requer um explosivo detonador para causar sua decomposição em gases quentes. NH_4NO_3 \ding{217} N_2O + 2H_2O Suponha que 900 g de NH_4NC_3 se decomponham quase instantaneamente. Qual volume total de gás em litros se forma a 1092°C?",4.0,113.0,117.0,,,
3573Q1,"Quando uma polegada de chuva cai em Nova York, resulta em uma precipitação de 19,8 × 10^9 litros. Se a temperatura cair para 0°C após essa precipitação e a densidade da chuva (H_2O) for 1,00 g/cm_3, quanto calor é liberado quando essa quantidade de água congela? Você pode assumir que ∆H_fus= 1,4 Kcal mol^-1.",4.0,129.0,133.0,,,
3599Q1,"Calcule \DeltaH quando 2 mols de Cu são aquecidos de 50°C a 200°C, dado que a = 5,41 cal mol^-1 K^-1 b = 1,50 cal mol^-1K^-2",4.0,58.0,62.0,,,
3601Q1,"Suponha que a mudança HC_2 O_4 ̄ + Cl_2 CO_3 ^2 ̄ +Cl ̄ seja realizada em solução básica. Começando com 0,10 mol de OH ̄, 0,10 mol de HC_2 O_4 ̄ e 0,05 mol de Cl_2, quantos mols de Cl ̄ seriam esperados na solução final?",4.0,107.0,111.0,,,
3663Q1,"Calcule ∆m, a diferença de massa entre os núcleos final e inicial em gramas por mol para a emissão de um raio gama, ^19_8O\textasteriskcentered (estado excitado)\rightarrow^19_8O (estado fundamental) + \gamma (∆E = 1,06 × 10^8 Kcal/mol).",4.0,92.0,96.0,,,
3721Q1,Um mecanismo proposto para uma reação é o seguinte: NO2 + F2 →NO2F + F Passo lento. F + NO2 → NO2F Passo rápido. Qual é a ordem da reação geral?,4.0,65.0,69.0,,,
3725Q1,Calcule o momento magnético (μI) de um núcleo de 13C.,4.0,22.0,26.0,,,
3755Q1,"Se a pressão de vapor do CCl_4 (tetracloreto de carbono) é 0,132 atm a 23°C e 0,526 atm a 58°C, qual é o ∆H' nessa faixa de temperatura?",4.0,59.0,63.0,,,
3769Q1,"O coeficiente de difusão para globulina sérica a 20° em uma solução salina aquosa diluída é 4,0 × 10^-11 m^2 s^-1. Se as moléculas forem consideradas esféricas, calcule seu peso molecular. Dado \etaH_2O = 0,001005 Pascal seg a 20° e ѵ= 0,75 (cm^3/g) para a proteína.",4.0,117.0,121.0,,,
3792Q1,"Considere a reação I_2 \rightarrow 2I a 1000°K e 1 atm. A frequência de vibração fundamental ѵde I_2 é 214,4 cm^-1, e a distância internuclear é 0,2667 nm. Calcule a constante de equilíbrio K_P para a reação se o estado fundamental de I for um dupleto ^2P_3/2,1/2 Com uma separação de 7603 cm^-1 . A energia de dissociação de I_2 é 1,542 eV.",4.0,146.0,150.0,,,
3846Q1,"Quantos litros de gás fosfina (PH_3) em CNTP poderiam ser feitos a partir de 30 g de cálcio usando a seguinte sequência de reações: 3Ca + 2P\rightarrowCa_3 P_2 Ca_3 P_2 + 6HCl\rightarrow2PH3 + 3CaCl_2 (Pesos moleculares: Ca = 40, PH_3 = 34.)",4.0,110.0,114.0,,,
3848Q1,"Sabe-se que 1 tonelada de TNT pode produzir 4,6 × 10^9 J de energia. Um químico queria obter essa quantidade de energia a partir de acetileno (C_2 H_2) e oxigênio (O_2). Quanto C_2 H_2 e O_2 seriam necessários? O ∆H° = - 2510 KJ para a reação entre C_2 H_2 e O_2.",4.0,120.0,124.0,,,
3931Q1,"Na reação, CaCO_3(s) \rightarrow CaCO(s) + CO_2 (g) a 950°C e pressão de CO_2 de 1 atm, o ∆H é encontrado como 176 kJ/mol. Supondo que o volume da fase sólida muda pouco em comparação com o volume de gás gerado, calcule o ∆E para esta reação.",4.0,106.0,110.0,,,
3938Q1,"Calcule a mudança de entalpia padrão, ∆H°, para a combustão de amônia, NH_3(g), para dar óxido nítrico, NO(g), e água H_2O(l). As entalpias de formação, ∆H°_f, são - 68,32 Kcal/mol para H_2O(l) , - 11,02 Kcal/mol para NH_3 (g) , e 21,57 Kcal/mol para NO(g).",4.0,130.0,134.0,,,
3939Q1,"Calcule o E° padrão, potencial do eletrodo, da célula de combustível hidrogênio-oxigênio. A energia livre de formação de Gibbs padrão (∆G^0_f) de H_2O(l) = -56.690 cal/mol.",4.0,80.0,84.0,,,
3941Q1,"Encontre o ∆H°, calor de reação, para a hidrólise da ureia para CO_2 e NH_3. Embora a reação não prossiga a uma taxa detectável na ausência da enzima, urease, ∆H ainda pode ser calculado a partir dos seguintes dados termodinâmicos: Componente ∆H°_f (Kcal/mol Ureia (aq) - 76,30 CO_2 (aq) - 98,69 H_2O (l) - 68,32 NH_3 (aq) - 19,32 A reação de hidrólise é H_2O (l) + H_2N - CO - NH_2 \rightarrow CO_2(aq) + 2NH_3 (aq) (ureia)",4.0,203.0,207.0,,,
3948Q1,"Usando os dados da figura anexa, calcule o calor de reação para o seguinte processo a 25 °C: a) CaCl_2 (s) + Na_2CO_3 (s) \rightarrow 2NaCl (s) + CaCO_3 (s) b) H_2 SO_4 (I) + 2NaCl (s) \rightarrow Na_2SO_4 (s) + 2HCl (g) Calores padrão de formação, ∆H °, em kcal / mol a 25 °C. Calores padrão de formação, ∆H °, em kcal / mol a 25 °C. Substância ∆H° CaCl_2 (s) - 190,0 Na_2CO_3(s) - 270,3 NaCl(s) - 98,2 CaCO_3(s) - 288,4 H_2 SO_4 (I) - 193,9 HCl (g) - 22,1 Na_2SO_4 (s) - 330,9",4.0,245.0,249.0,,,
3989Q1,A equação ΔH = ΔU + PΔV é aplicável,4.0,21.0,25.0,,,
3990Q1,Estime o valor β-hiperfino para o radical ciclobutil (C4H7•) assumindo que o radical é plano e o ângulo HCH é 115°.,4.0,47.0,51.0,,,
4033Q1,"Calcule ∆H para a reação a 25°C. CO(g) + (1/2)O_2 (g) \rightarrow CO_2 (g)∆E = - 67,4Kcal.",4.0,52.0,56.0,,,
4042Q1,"Considere o processo H_2O(solução,25°C) = H_2O(puro,25°C). Se a solução for NaCl de concentração m e tiver uma pressão osmótica de 2,0 a 25°C, calcule ∆G_298, a mudança de energia livre para o processo.",4.0,91.0,95.0,,,
4086Q1,"O tempo de correlação rotacional de um objeto esférico de raio r imerso em um líquido com viscosidade η é dado pela equação de Stokes: τc = 4πηr3/3kBT. Uma pequena molécula com massa molecular relativa Mr = 100 em água a 298 K tem τc = 50 ps. Assumindo que Mr é proporcional ao volume molecular, estime τc para uma pequena proteína com Mr = 8400.",4.0,134.0,138.0,,,
