ID,PT,GLOSA,TOKENS_EST_ID,TOKENS_EST_PT,TOTAL_TOKENS
7425C2,uma nação diminui os gastos em serviços públicos.,NAÇÃO DIMINUIR GASTO SERVIÇO PÚBLICO,,,
7425C2,74 km/h,74 KM HORA,,,
3555Q1,"Suponha que todos os gases são perfeitos, a menos que indicado de outra forma. Note que 1 atm = 1,013 25 bar. A menos que indicado de outra forma, os dados termoquímicos são para 298,15 K. Preocupações sobre os efeitos nocivos dos clorofluorcarbonos no ozônio estratosférico motivaram uma busca por novos refrigerantes. Uma dessas alternativas é o 2,2-dicloro-1,1,1-trifluoroetano (refrigerante 123). Younglove e McLinden publicaram um compêndio de propriedades termofísicas desta substância (J. Phys. Chem. Ref. Data 23, 7 (1994)), a partir do qual propriedades como o coeficiente de Joule-Thomson $\\mu$ podem ser computadas. Calcule $\\mu$ a 1,00 bar e $50^{\\circ} \\mathrm{C}$ dado que $(\\partial H / \\partial p)_T=-3,29 \\times 10^3 \\mathrm{~J} \\mathrm{MPa}^{-1} \\mathrm{~mol}^{-1}$ e $C_{p, \\mathrm{~m}}=110,0 \\mathrm{~J} \\mathrm{~K}^{-1} \\mathrm{~mol}^{-1}$.",,4.0,356.0,360.0
3558Q1,"Suponha que todos os gases sejam perfeitos, a menos que seja indicado o contrário. A menos que seja indicado o contrário, os dados termodinâmicos são para 298,15 K. Para a reação $\\mathrm{C}_2 \\mathrm{H}_5 \\mathrm{OH}(\\mathrm{l})+3 \\mathrm{O}_2(\\mathrm {~g}) \\rightarrow 2 \\mathrm{CO}_2(\\mathrm{~g})+3 \\mathrm{H}_2 \\mathrm{O}(\\mathrm{g})$, $\\Delta_{\\mathrm{r}} U^\\ominus=-1373 \\mathrm{~kJ} \\mathrm{~mol}^{-1}$ em $298 \\mathrm{~K}$, calcule $\\Delta_{\\mathrm{r}} H^{\\ominus}$.",,4.0,225.0,229.0
3646Q1,"Outra aplicação da relação dada no Problema $1-48$ tem a ver com as energias de estados excitados e tempos de vida de átomos e moléculas. Se sabemos que o tempo de vida de um estado excitado é $10^{-9} \\mathrm{~s}$, então qual é a incerteza na energia desse estado?",,4.0,102.0,106.0
3956Q1,"Se 1,588 g de tetróxido de nitrogênio dá uma pressão total de 1 atm quando em parte separado em seus componentes em um recipiente de vidro de 500 cm^3 a 25°, qual é o grau de dissociação, \\alpha? Qual é o valor de K_p ? A equação para esta reação é N_2O_4\\rightarrow 2NO_2 .",,4.0,109.0,113.0
4001Q1,"Um sino de mergulho tem um espaço de ar de $3,0 \\mathrm{m}^3$ quando está no convés de um barco. Qual é o volume do espaço de ar quando o sino foi abaixado a uma profundidade de $50 \\mathrm{m}$? Considere a densidade média da água do mar como $1,025 \\mathrm{g} \\mathrm{cm}^{-3}$ e suponha que a temperatura seja a mesma da superfície.",,4.0,143.0,147.0
4096Q1,"O Exemplo 5-3 mostra que uma expansão de Maclaurin de um potencial de Morse leva a\n$$\nV(x)=D \\beta^2 x^2+\\cdots\n$$\nDado que $D=7,31 \\times 10^{-19} \\mathrm{~J} \\cdot$ molécula ${ }^{-1}$ e $\\beta=1,81 \\times 10^{10} \\mathrm{~m}^{-1}$ para $\\mathrm{HCl}$, calcule a constante de força de $\\mathrm{HCl}$.",,4.0,147.0,151.0
4137Q1,"(a) Derive a expressão (\\partialE/\\partialT)_P = C_P - P (\\partialV/\\partialT)_P (b) Calcule (C_P - C_V) para Cu a 20°C Densidade de Cu = 8,934 (kg / litro) Massa de Cu = 29 × 10^-3 kg mol^-1 \\alpha = 50,1 × 10^-6 K^-1\\beta = 0,7 × 10^-6 atm^-1",,4.0,120.0,124.0
4147Q1,"A 20 °C \\DeltaH para a reação de um mol de NaCl com água suficiente para dar uma solução contendo 12% de NaCl em peso é 774,6 cal. A 25 °C \\DeltaH para a mesma reação é 700,8 cal. Calcule a capacidade de calor da solução em cal/deg-g dado o seguinte: C_P de NaCl sólido = 12 cal/deg-mol C_P para água = 18 cal/deg-mol.",,4.0,136.0,140.0
