id,instance,class_type,number_instance,all_number_instance,contains_code,only_special_characters
6_inp,4/16,inp,False,True,False,False
37_inp,"[2, 3, 7, 8, 10]",inp,True,True,False,False
41_inp,3x+5y=9,inp,True,True,False,False
53_inp,"2, 4, 0, 8, 3",inp,True,True,False,False
61_inp,101101,inp,False,True,False,False
73_inp,"21, 4",inp,True,True,False,False
122_inp,94F,inp,False,True,False,False
131_inp,"2, 5, 10",inp,True,True,False,False
266_inp,"1, 2, 3, 4, 5",inp,True,True,False,False
270_inp,"7, 9, 13, 2, 8",inp,True,True,False,False
294_inp,(x + 3)(2x - 5),inp,True,True,False,False
353_inp,"[5, 10, 15, 8, 9, 5, 8, 10, 9]",inp,True,True,False,False
399_inp,"5, 10, 20",inp,True,True,False,False
403_inp,6 + 12,inp,False,True,False,False
491_inp,7 + 6,inp,False,True,False,False
513_inp,12/8,inp,False,True,False,False
634_inp,"[1, 2, 3, 4, 5]",inp,True,True,False,False
686_inp,a=4,inp,False,True,False,False
688_inp,"15, 68, 20, 41, 28",inp,True,True,False,False
689_inp,125,inp,False,True,False,False
712_inp,"8, 22, 11, 47",inp,True,True,False,False
764_inp,"[1, -1, 0.5, -0.5, 0.8, -0.9, 0.4]",inp,False,True,False,False
767_inp,"[4, 1, 6, 5, 2]",inp,True,True,False,False
770_inp,5309 7677 8244 1346,inp,False,True,False,False
841_inp,x = 14,inp,True,True,False,False
896_inp,"9, -7, 15, 12",inp,False,True,False,False
957_inp,"[1,2,3,4]",inp,True,True,False,False
1009_inp,2 + 3 =,inp,False,True,False,False
1041_inp,"[[2, 3],
 [4, 5]]",inp,True,True,False,False
1100_inp,"40.728157, -73.794853",inp,False,True,False,False
1112_inp,2 + 4 + 6,inp,False,True,False,False
1231_inp,y = 3x - 2,inp,True,True,False,False
1249_inp,73,inp,False,True,False,False
1301_inp,3048,inp,False,True,False,False
1339_inp,3 + 4,inp,False,True,False,False
1349_inp,"9, 2, 7, 4, 1, 6, 8",inp,True,True,False,False
1384_inp,"[25.2, 24.6, 22.7, 26.1, 28.2]",inp,True,True,False,False
1398_inp,3x + 4y = 20,inp,True,True,False,False
1420_inp,62,inp,False,True,False,False
1550_inp,2x + 10 = 20,inp,True,True,False,False
1555_inp,"3, 11, 17, 5",inp,True,True,False,False
1557_inp,7.123e-2,inp,False,True,False,False
1618_inp,C2H2,inp,False,True,False,False
1619_inp,"5, 15, 10, 7",inp,True,True,False,False
1622_inp,"(1, 2) (2, 3) (3, 2) (4, 5)",inp,False,True,False,False
1626_inp,"7, 9",inp,True,True,False,False
1660_inp,"[7, 3, 5, 10, 1]",inp,True,True,False,False
1683_inp,"2, 4, 6, 8, 10",inp,True,True,False,False
1724_inp,"9, 5",inp,True,True,False,False
1733_inp,42,inp,False,True,False,False
1736_inp,18047,inp,False,True,False,False
1740_inp,"2 x 3 = 6 
7 x 7 = 49
9 x 4 = 36",inp,False,True,False,False
1822_inp,"7, 8, 6, 9",inp,True,True,False,False
1845_inp,"541, 1183, 745",inp,True,True,False,False
1857_inp,0.567,inp,False,True,False,False
1922_inp,2x+3=7,inp,True,True,False,False
1951_inp,"(2,-3) (1,-2)",inp,False,True,False,False
1988_inp,7+10*2,inp,True,True,False,False
2098_inp,"2x + y = 5
-x + 3y = 4",inp,True,True,False,False
2209_inp,"a = 4
b = 2",inp,False,True,False,False
2210_inp,"[114, 11, 90, 7, 34]",inp,True,True,False,False
