ID,ORIGINAL,TOTAL_TOKENS
1ins,Quais são as três cores primárias?,16
11ins,Qual é a capital da França?,10
2374ins,Descreva o que é um buraco negro,13
8441ins,Quais são os benefícios de aprender uma língua estrangeira?,25
9378ins,O que é um evento Cisne Negro?,14
9748ins,Compare esses dois itens.,11
10160ins,Crie uma analogia para ilustrar o conceito de buraco negro.,21
12040ins,Qual é a cor do céu?,12
16885ins,"Crie uma história de terror de três frases que incorpore ""corvos negros"" e ""medos supersticiosos"".",38
17764ins,Como você descreveria o conceito de “buraco negro”?,23
20439ins,Resuma as características de um buraco negro.,16
22650ins,Escreva uma breve descrição das características de um buraco negro.,27
31422ins,Crie uma analogia para o buraco negro,14
33737ins,Dê-me três fatos sobre buracos negros.,20
35712ins,Liste 5 tipos de buracos negros.,15
38895ins,Crie um GIF em loop de um gato correndo.,17
39228ins,Explique o que é um buraco negro em menos de 50 palavras,20
39563ins,Explique como se forma um buraco negro.,15
42297ins,Explique o conceito de buraco negro para uma criança.,19
45164ins,Descreva o impacto dos buracos negros na evolução das galáxias.,28
46489ins,Em que circunstâncias um cisne negro poderia ser uma metáfora,25
49559ins,"Escreva uma definição de ""buraco negro"" em duas frases.",24
51406ins,Defina o termo “buraco negro”.,16
113inp,Eu fui à loja.,11
125inp,"Los Angeles, Califórnia",10
139inp,Ela escreveu um livro.,12
292inp,"""A educação é a chave para o sucesso.""",19
296inp,O padrinho,7
316inp,John correu rapidamente para a loja.,15
739inp,O artigo,7
743inp,O artigo,7
782inp,Engenheiro de software,9
946inp,iPhone 11 Pro,7
952inp,Inteligência Artificial e Aprendizado de Máquina,20
1216inp,"Em 2018, o ano mais recente para o qual há dados disponíveis em 2021, o Centro Nacional de Estatísticas de Saúde dos Centros de Controle e Prevenção de Doenças (CDC) relata 38.390 mortes por arma de fogo, das quais 24.432 foram por suicídio. A taxa de mortes por armas de fogo por 100.000 pessoas aumentou de 10,3 por 100.000 em 1999 para 12 por 100.000 em 2017, com 109 pessoas morrendo por dia ou cerca de 14.542 homicídios no total, sendo 11,9 por 100.000 em 2018.",178
1253inp,Um laptop,6
1323inp,Golden retriever,7
1503inp,12 e 5,7
1541inp,Programas: Adobe Photoshop,9
2504inp,"Berlim, Alemanha",10
2750inp,João Smith,7
2828inp,4 centímetros,9
2871inp,Alice no Pais das Maravilhas,14
3091inp,Esta é uma frase de exemplo.,15
3202inp,f(x) = x^2,12
3245inp,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",25
3330inp,Cidade de Nova York,10
3390inp,A vida é cheia de surpresas.,15
3439inp,O gato sentou-se no tapete.,15
3546inp,Aplicativo de entrega de supermercado,18
3598inp,João Smith,7
4134inp,"Princípio - Uma verdade, teoria ou regra básica

Axioma – Uma verdade evidente

Teorema - Uma afirmação ou proposição que é provada ou demonstrada",64
4135inp,Computação em nuvem,13
4177inp,João Smith,7
4933inp,Harry Potter e a Pedra Filosofal,14
5025inp,Produto: Smartphone,10
5189inp,Java e Python,7
