ID,PT
19ins,"Gere três verbos que significam o mesmo que \""pedir desculpas\"""
108ins,"Pense em uma frase ou expressão idiomática que contenha a palavra \""dormir\""."
143ins,"Escreva uma definição simples da palavra \""economia\""."
161ins,Parafraseie a seguinte frase
165ins,Resuma o seguinte artigo
197ins,"Escreva uma breve resenha sobre o romance \""O apanhador no campo de centeio\""."
203ins,Reescreva a frase a seguir para que fique na voz ativa.
207ins,"Qual é a contração de \""they are\""?"
238ins,"Forneça um breve resumo do romance \""Never Let Me Go\""."
244ins,"Encontre uma palavra que rime para a palavra \""rio\""."
268ins,"Reescreva esta frase: \""Ela está fazendo uma pequena pausa no treino\"""
269ins,"Dado o título de um filme \""O Gigante de Ferro\"", crie um slogan adequado"
311ins,"Escreva uma definição de \""photoshop\""."
315ins,"Explique o termo \""explicabilidade da IA\""."
544ins,"Escreva uma definição para a palavra \""meandro\""."
551ins,"Reescreva a seguinte frase:\n\n\""O candidato é um indivíduo altamente motivado\"""
628ins,"Encontre o sinônimo da palavra \""loathe\"""
633ins,Gerar uma análise do livro O Sol é para Todos
677ins,Gere uma frase que use a palavra ‘zephyr’
694ins,"Traduza a frase \""Eu te amo\"" para o espanhol."
695ins,"Escreva um resumo do livro \""O apanhador no campo de centeio\""."
700ins,"Construa uma frase usando o presente do verbo \""eat\""."
738ins,"Crie uma gramática para a frase \""um milkshake\""."
741ins,"Reescreva a seguinte frase de uma forma mais formal:\n\n\""Quero aprender sobre este novo aplicativo.\"""
950ins,Reescreva a seguinte frase para usar um verbo diferente
1049ins,"Encontre um sinônimo para a palavra \""começar\""."
1059ins,"Transforme a frase \""Não era para ser assim\"" em uma frase declarativa."
1061ins,"Crie uma instância única da palavra \""beleza\"" usando uma comparação."
1063ins,"Traduzir \""Bonjour\"" para o inglês."
1111ins,reescreva esta frase como uma pergunta
1133ins,Reescreva esta frase na forma de uma pergunta.
1137ins,Edite esta frase tornando-a mais concisa.
1154ins,Identifique o hiperônimo para a palavra “laticínios”.
1155ins,Converta esta frase em uma pergunta.
1156ins,"Construa uma frase usando as palavras “oprimir”, “merecer” e “igualdade”."
1163ins,Traduza esta frase para outro idioma.
1281ins,Reescreva a seguinte frase no presente.
1284ins,Reescreva a seguinte frase como uma pergunta.
1473ins,"Edite a frase: \""Eu gosto de ler\"" "
1477ins,"Determine o significado da palavra \""bemused\""."
1484ins,"Gere uma lista de palavras que rimam com \""gato\""."
1488ins,"Escreva um poema usando a palavra \""liberdade\""."
1565ins,"Dê a tradução em espanhol para \""raposa\""."
1794ins,"Solucione a seguinte mensagem de erro: \""Ocorreu um erro desconhecido. Código de erro: 500.\"""
1887ins,"Identifique a classe gramatical de cada palavra na frase: \""O robô pintou a casa\""."
1915ins,"Encontre a definição da frase \""aprendizado de máquina\"""
1956ins,"Nesta tarefa, você terá que classificar a seguinte frase como verdadeira ou falsa."
1960ins,"Dê um exemplo de uma frase que inclua a palavra \""gigantesco\""."
1992ins,Edite a frase a seguir para usar a palavra “impulsionar”.
2016ins,"Descreva o conteúdo do romance \""O Grande Gatsby\""."
2027ins,Reescreva a frase na voz passiva.
2033ins,"Reescreva a frase abaixo para enfatizar a palavra \""rapidamente\""."
2047ins,"Reescreva a seguinte frase em um estilo melhor em inglês: \""This is the most awesomest thing ever!\""."
2067ins,"Reescreva a frase sem usar a palavra \""portanto\""."
2068ins,"Como você responderia à seguinte pergunta \""sim ou não\""?"
2095ins,Traduza esta frase para o francês.
2104ins,"Classifique a seguinte afirmação como verdadeira ou falsa. \""Um método científico não pode ser usado para estudar um fenômeno social.\"""
2105ins,"Reescreva a seguinte frase para torná-la mais concisa. \""É essencial que a nova linguagem de codificação seja fácil de aprender.\"""
2109ins,"Edite a frase a seguir para que soe mais formal. \""temos que encontrar uma maneira de fazer isso funcionar\"""
2111ins,"Construa uma definição para o termo \""IA\""."
2112ins,"Digite a letra silenciosa na palavra \""honesto\""."
2116ins,"Na frase “A maçã é vermelha.”, identifique o verbo principal."
2117ins,Sinonímia da palavra “zangado”.
2119ins,Encontre a palavra mais longa na frase “Grandes mentes pensam da mesma forma”.
2122ins,"Traduza a seguinte frase para o francês:\n\""Nós nos divertimos muito\"""
2123ins,"Identifique o substantivo próprio na frase \""Hoje é quinta-feira\""."
2126ins,"Escreva um código JavaScript para exibir uma mensagem de alerta quando o botão \""Enviar\"" for pressionado."
2262ins,"Crie um trocadilho com as palavras \""girafa\"" e \""elefante\"""
2458ins,"Quem é o autor do romance \""Caninos Brancos\""?"
2478ins,"Explique o termo \""redes neurais convolucionais\""."
2483ins,"Resuma os acontecimentos do capítulo 6 do livro \""Moby Dick\""."
2492ins,"Construa uma expressão regular para identificar strings que começam com a letra \""s\""."
2494ins,"Classifique a palavra como \""animal\"" ou \""não animal\""."
2578ins,"Reescreva a frase \""Ele é uma pessoa inteligente\"" na voz passiva"
2666ins,"Descreva o significado de \""X\"" em 4 frases."
2674ins,"Explique o conceito de \""X\"" em 5 frases."
2675ins,"Crie 10 ideias para \""X\""."
2715ins,"Reescreva a frase usando um sinônimo apropriado para a palavra \""belo\""."
2742ins,Reescreva esta frase de forma formal.
2783ins,"Classifique a seguinte afirmação: \""A melhor maneira de aprender é ensinando\""."
2789ins,"Escreva uma expressão matemática para esta afirmação: \""o produto de seis e a soma de três e quatro\""."
2804ins,"Identifique a conjunção na frase \""liberdade e justiça\""."
2805ins,"Classifique o tipo de frase \""Estou sentado\""."
2848ins,"Forneça uma definição para o termo \""dispositivos literários\""."
2886ins,"Gere 10 ideias para seu projeto \""faça você mesmo\""."
2895ins,Reescreva a frase a seguir usando uma palavra diferente para “muito”
2897ins,"Escreva uma definição concisa para \""algoritmo\""."
2902ins,"Dê um exemplo que mostre como usar a palavra \""indignado\""."
3125ins,Identifique o tipo da frase fornecida abaixo.
3396ins,"Substitua as palavras \""a\"" e \""the\"" por sinônimos para tornar a frase a seguir mais interessante."
3400ins,"Crie um antônimo para a palavra \""conservador\""."
3402ins,"Classifique esta frase como sentimento positivo, negativo ou neutro: \""Estou tão cansado\""."
3403ins,"Reescreva esta frase para torná-la mais descritiva: \""Foi um dia agradável\""."
3842ins,"Adivinhe qual é o significado oposto da palavra \""obscuro\""."
3867ins,"Crie um provérbio inglês que comece com as palavras \""A stitch in time\""."
3893ins,Crie um enigma usando a seguinte palavra: borboleta.
3935ins,"Subtraia \""83\"" de \""140\""."
3951ins,"Dê-me um exemplo de frase que use o verbo \""to waver\""."
3952ins,"Explique o significado da expressão idiomática \""deixar o gato sair da bolsa\""."
3967ins,"Categorize os seguintes gêneros de filmes: ação, comédia, romance, crime."
3982ins,"Edite a frase a seguir para torná-la mais formal: \n\""Você é meu assistente favorito.\"""
3998ins,Explique o conceito de “pior cenário”.
4000ins,O que significa “algoritmo”?
4002ins,"Considere a seguinte frase: \""I was born in the United States\"". Forneça a classe gramatical para a palavra “born”."
4012ins,"Substitua a palavra \""renderização\"" na frase a seguir por outra palavra que tenha o mesmo significado, sem alterar a estrutura da frase."
4075ins,Construa uma explicação da definição da palavra “recompensa”.
4076ins,Defina o termo “aprendizado de máquina”.
4092ins,Analise o poema “The Road Less Traveled”
4192ins,"Traduza a frase \""bon voyage\"" para o espanhol."
4195ins,"Classifique a seguinte frase: \""Meu carro tem me dado problemas ultimamente.\"""
4201ins,"Edite a frase a seguir para corrigir quaisquer erros de gramática ou ortografia:\n\""Enviei dois e-mails para meu chefe e ele não respondeu\"""
4221ins,Sinonímia da palavra “inteligente”
4227ins,"Procure um sinônimo para a palavra \""grandeza\""."
4229ins,"Crie um lema de quatro palavras com as palavras \""poder\"", \""coragem\"", \""sonho\"" e \""esperança\""."
4244ins,"Diga-me, qual é a primeira coisa que vem à sua mente quando você ouve a palavra \""estrada\""?"
4278ins,"Gere uma lista de sinônimos para \""desolado\""."
4285ins,"Reescreva a frase sem usar as palavras \""é\"" e \""era\""."
4287ins,"Concorde ou discorde da seguinte afirmação: \""É sempre melhor ser honesto\""."
4290ins,"Como se diz \""obrigado\"" em japonês?"
4328ins,Reescreva esta frase para que ela fique na voz passiva.
4340ins,"Crie uma rima para a palavra \""falling\""."
4344ins,"Crie um poema que comece com a frase \""Mesmo nos dias mais sombrios\"""
4348ins,Crie uma história que comece com a frase “Eles pensaram que estavam perdidos para sempre”.
4358ins,"Insira o artigo correto antes da palavra \""crianças\"""
4373ins,Identifique o sujeito e o verbo nesta frase.
4423ins,"Gere uma legenda plausível para o filme \""O Poderoso Chefão\"""
4425ins,"Resuma o romance \""Orgulho e Preconceito\"" em três frases."
4456ins,Edite a frase a seguir para que seja o mais concisa possível.
4489ins,"Explique o conceito de \""custo de oportunidade\""."
4495ins,"Qual é o passado de \""run\""?"
4496ins,"Liste três palavras relacionadas à palavra \""maçã\"""
4526ins,"Escreva uma frase usando a expressão \""as possibilidades são infinitas\""."
4559ins,"Identifique que tipo de pronome é esse: \""Está chovendo há horas\"""
